iter	Passed	Remaining
0	56	56767
1	57	28567
2	57	19116
3	57	14387
4	58	11582
5	58	9723
6	59	8378
7	59	7388
8	59	6590
9	60	5963
10	60	5447
11	61	5091
12	62	4734
13	62	4423
14	63	4153
15	63	3914
16	63	3697
17	64	3515
18	64	3340
19	64	3183
20	65	3040
21	65	2915
22	65	2800
23	66	2697
24	66	2598
25	66	2506
26	67	2430
27	67	2354
28	68	2285
29	68	2220
30	69	2160
31	69	2102
32	69	2048
33	70	1998
34	70	1950
35	71	1902
36	71	1857
37	71	1815
38	72	1774
39	72	1735
40	72	1698
41	72	1663
42	73	1634
43	73	1602
44	74	1575
45	74	1547
46	74	1518
47	75	1492
48	75	1470
49	76	1447
50	76	1427
51	77	1404
52	77	1382
53	77	1365
54	78	1346
55	78	1326
56	79	1308
57	79	1290
58	79	1273
59	80	1257
60	80	1242
61	81	1227
62	81	1212
63	81	1197
64	82	1183
65	82	1170
66	83	1157
67	83	1143
68	83	1131
69	84	1118
70	84	1105
71	84	1094
72	85	1083
73	85	1071
74	85	1060
75	86	1049
76	86	1039
77	87	1030
78	87	1019
79	87	1009
80	88	1001
81	88	991
82	88	980
83	89	974
84	89	965
85	89	956
86	90	947
87	90	938
88	91	934
89	91	927
90	92	920
91	92	913
92	92	905
93	93	898
94	93	891
95	93	883
96	94	877
97	94	870
98	94	864
99	95	858
100	95	852
101	96	846
102	96	840
103	96	835
104	97	829
105	97	823
106	98	818
107	98	812
108	98	806
109	98	800
110	99	794
111	99	789
112	99	784
113	100	780
114	100	774
115	101	770
116	101	764
117	101	759
118	102	755
119	102	751
120	102	746
121	102	741
122	103	736
123	103	733
124	104	730
125	104	726
126	104	721
127	105	716
128	105	712
129	106	709
130	106	705
131	106	702
132	107	698
133	107	695
134	108	692
135	108	689
136	108	685
137	109	682
138	109	678
139	109	674
140	110	671
141	110	667
142	110	664
143	111	661
144	111	658
145	111	655
146	112	652
147	112	648
148	113	645
149	113	642
150	113	640
151	114	637
152	114	634
153	114	631
154	115	628
155	115	625
156	115	622
157	116	619
158	116	617
159	116	613
160	117	610
161	117	608
162	117	605
163	118	603
164	118	600
165	118	597
166	119	595
167	119	592
168	120	590
169	120	588
170	121	586
171	121	584
172	121	582
173	122	579
174	122	577
175	122	574
176	123	572
177	123	570
178	123	568
179	124	565
180	124	563
181	124	561
182	125	559
183	125	557
184	125	554
185	126	552
186	126	550
187	126	548
188	127	546
189	127	544
190	128	542
191	128	540
192	128	538
193	129	536
194	129	534
195	129	532
196	130	530
197	130	528
198	130	526
199	131	524
200	131	522
201	131	520
202	132	518
203	132	516
204	132	515
205	133	513
206	133	511
207	133	509
208	134	507
209	134	506
210	134	504
211	135	503
212	135	501
213	136	500
214	136	498
215	136	496
216	137	495
217	137	493
218	137	492
219	138	490
220	138	488
221	138	487
222	139	485
223	139	484
224	140	482
225	140	480
226	140	479
227	141	477
228	141	475
229	141	474
230	142	473
231	142	471
232	142	469
233	143	468
234	143	466
235	143	464
236	143	463
237	144	461
238	144	459
239	144	458
240	145	457
241	145	455
242	145	454
243	146	452
244	146	451
245	146	450
246	147	449
247	147	447
248	147	446
249	148	444
250	148	443
251	149	442
252	149	440
253	149	439
254	149	438
255	150	437
256	150	435
257	151	434
258	151	433
259	151	432
260	152	430
261	152	429
262	152	427
263	153	426
264	153	425
265	153	424
266	154	423
267	154	422
268	155	421
269	155	420
270	155	419
271	156	418
272	156	417
273	156	415
274	157	415
275	157	413
276	158	412
277	158	411
278	158	410
279	159	409
280	159	408
281	160	407
282	160	406
283	160	405
284	161	404
285	161	403
286	161	402
287	162	401
288	162	400
289	162	398
290	163	397
291	163	396
292	163	395
293	164	394
294	164	393
295	165	392
296	165	391
297	165	390
298	166	389
299	166	388
300	166	387
301	167	386
302	167	385
303	167	384
304	168	383
305	168	382
306	168	381
307	169	380
308	169	379
309	170	378
310	170	377
311	170	376
312	171	375
313	171	374
314	171	373
315	172	372
316	172	371
317	172	370
318	173	369
319	173	368
320	173	367
321	174	366
322	174	366
323	175	365
324	175	364
325	175	363
326	175	362
327	176	361
328	176	360
329	177	359
330	177	358
331	177	357
332	178	356
333	178	355
334	178	354
335	179	353
336	179	352
337	179	351
338	179	350
339	180	349
340	180	348
341	180	347
342	180	346
343	181	345
344	181	344
345	181	343
346	182	342
347	182	341
348	182	340
349	182	339
350	183	338
351	183	337
352	183	336
353	184	335
354	184	334
355	184	333
356	184	332
357	185	331
358	185	330
359	185	329
360	185	328
361	186	327
362	186	326
363	186	325
364	186	324
365	187	324
366	187	323
367	187	322
368	187	321
369	188	320
370	188	319
371	188	318
372	188	317
373	188	316
374	189	315
375	189	314
376	189	313
377	190	312
378	190	311
379	190	311
380	190	310
381	191	309
382	191	308
383	191	307
384	192	306
385	192	306
386	192	305
387	192	304
388	193	303
389	193	302
390	193	302
391	194	301
392	194	300
393	194	299
394	194	298
395	195	297
396	195	296
397	195	296
398	195	295
399	196	294
400	196	293
401	196	292
402	196	291
403	197	290
404	197	290
405	197	289
406	198	288
407	198	288
408	198	287
409	199	286
410	199	285
411	199	285
412	199	284
413	200	283
414	200	282
415	200	281
416	201	281
417	201	280
418	201	279
419	201	278
420	202	277
421	202	277
422	202	276
423	202	275
424	203	274
425	203	274
426	203	273
427	204	272
428	204	271
429	204	271
430	204	270
431	205	269
432	205	269
433	205	268
434	206	267
435	206	266
436	206	266
437	206	265
438	207	264
439	207	264
440	207	263
441	208	262
442	208	261
443	208	261
444	208	260
445	209	259
446	209	259
447	209	258
448	210	257
449	210	257
450	210	256
451	210	255
452	211	254
453	211	254
454	211	253
455	211	252
456	212	252
